User ID,Gender,Age,EstimatedSalary,Purchased,Age_Z-score Normalization,EstimatedSalary_Z-score Normalization
15624510,Male,19,19000,0,-1.7817974284598157,-1.4900462352132775
15810944,Male,35,20000,0,-0.25358735848624026,-1.4606813786292843
15668575,Female,26,43000,0,-1.1132055228463764,-0.7852896771974396
15603246,Female,27,57000,0,-1.017692393473028,-0.37418168502153404
15804002,Male,19,76000,0,-1.7817974284598157,0.18375059007433778
15728773,Male,27,58000,0,-1.017692393473028,-0.34481682843754075
15598044,Female,27,84000,0,-1.017692393473028,0.4186694427462838
15694829,Female,32,150000,1,-0.5401267466062857,2.3567499772898386
15600575,Male,25,33000,0,-1.2087186522197249,-1.0789382430373722
15727311,Female,35,65000,0,-0.25358735848624026,-0.139262832349588
15570769,Female,26,80000,0,-1.1132055228463764,0.3012100164103108
15606274,Female,26,52000,0,-1.1132055228463764,-0.5210059679415002
15746139,Male,20,86000,0,-1.6862842990864673,0.4773991559142703
15704987,Male,32,18000,0,-0.5401267466062857,-1.519411091797271
15628972,Male,18,82000,0,-1.8773105578331641,0.3599397295782973
15697686,Male,29,80000,0,-0.826666134726331,0.3012100164103108
15733883,Male,47,25000,1,0.8925701939939412,-1.313857095709318
15617482,Male,45,26000,1,0.7015439352472443,-1.2844922391253248
15704583,Male,46,28000,1,0.7970570646205928,-1.2257625259573384
15621083,Female,48,29000,1,0.9880833233672897,-1.1963976693733451
15649487,Male,45,22000,1,0.7015439352472443,-1.4019516654612978
15736760,Female,47,49000,1,0.8925701939939412,-0.60910053769348
15714658,Male,48,41000,1,0.9880833233672897,-0.8440193903654261
15599081,Female,45,22000,1,0.7015439352472443,-1.4019516654612978
15705113,Male,46,23000,1,0.7970570646205928,-1.3725868088773046
15631159,Male,47,20000,1,0.8925701939939412,-1.4606813786292843
15792818,Male,49,28000,1,1.083596452740638,-1.2257625259573384
15633531,Female,47,30000,1,0.8925701939939412,-1.167032812789352
15744529,Male,29,43000,0,-0.826666134726331,-0.7852896771974396
15669656,Male,31,18000,0,-0.6356398759796341,-1.519411091797271
15581198,Male,31,74000,0,-0.6356398759796341,0.12502087690635127
15729054,Female,27,137000,1,-1.017692393473028,1.975006841697926
15573452,Female,21,16000,0,-1.5907711697131186,-1.5781408049652574
15776733,Female,28,44000,0,-0.9221792640996795,-0.7559248206134463
15724858,Male,27,90000,0,-1.017692393473028,0.5948585822502434
15713144,Male,35,27000,0,-0.25358735848624026,-1.2551273825413316
15690188,Female,33,28000,0,-0.4446136172329372,-1.2257625259573384
15689425,Male,30,49000,0,-0.7311530053529826,-0.60910053769348
15671766,Female,26,72000,0,-1.1132055228463764,0.06629116373836477
15782806,Female,27,31000,0,-1.017692393473028,-1.1376679562053587
15764419,Female,27,17000,0,-1.017692393473028,-1.5487759483812642
15591915,Female,33,51000,0,-0.4446136172329372,-0.5503708245254936
15772798,Male,35,108000,0,-0.25358735848624026,1.123426000762122
15792008,Male,30,15000,0,-0.7311530053529826,-1.6075056615492507
15715541,Female,28,84000,0,-0.9221792640996795,0.4186694427462838
15639277,Male,23,20000,0,-1.3997449109664217,-1.4606813786292843
15798850,Male,25,79000,0,-1.2087186522197249,0.2718451598263175
15776348,Female,27,54000,0,-1.017692393473028,-0.46227625477351375
15727696,Male,30,135000,1,-0.7311530053529826,1.9162771285299396
15793813,Female,31,89000,0,-0.6356398759796341,0.56549372566625
15694395,Female,24,32000,0,-1.3042317815930733,-1.1083030996213654
15764195,Female,18,44000,0,-1.8773105578331641,-0.7559248206134463
15744919,Female,29,83000,0,-0.826666134726331,0.3893045861622905
15671655,Female,35,23000,0,-0.25358735848624026,-1.3725868088773046
15654901,Female,27,58000,0,-1.017692393473028,-0.34481682843754075
15649136,Female,24,55000,0,-1.3042317815930733,-0.4329113981895205
15775562,Female,23,48000,0,-1.3997449109664217,-0.6384653942774733
15807481,Male,28,79000,0,-0.9221792640996795,0.2718451598263175
15642885,Male,22,18000,0,-1.4952580403397702,-1.519411091797271
15789109,Female,32,117000,0,-0.5401267466062857,1.387709710018061
15814004,Male,27,20000,0,-1.017692393473028,-1.4606813786292843
15673619,Male,25,87000,0,-1.2087186522197249,0.5067640124982635
15595135,Female,23,66000,0,-1.3997449109664217,-0.10989797576559475
15583681,Male,32,120000,1,-0.5401267466062857,1.4758042797700408
15605000,Female,59,83000,0,2.0387277464741227,0.3893045861622905
15718071,Male,24,58000,0,-1.3042317815930733,-0.34481682843754075
15679760,Male,24,19000,0,-1.3042317815930733,-1.4900462352132775
15654574,Female,23,82000,0,-1.3997449109664217,0.3599397295782973
15577178,Female,22,63000,0,-1.4952580403397702,-0.1979925455175745
15595324,Female,31,68000,0,-0.6356398759796341,-0.05116826259760824
15756932,Male,25,80000,0,-1.2087186522197249,0.3012100164103108
15726358,Female,24,27000,0,-1.3042317815930733,-1.2551273825413316
15595228,Female,20,23000,0,-1.6862842990864673,-1.3725868088773046
15782530,Female,33,113000,0,-0.4446136172329372,1.2702502836820881
15592877,Male,32,18000,0,-0.5401267466062857,-1.519411091797271
15651983,Male,34,112000,1,-0.34910048785958875,1.240885427098095
15746737,Male,18,52000,0,-1.8773105578331641,-0.5210059679415002
15774179,Female,22,27000,0,-1.4952580403397702,-1.2551273825413316
15667265,Female,28,87000,0,-0.9221792640996795,0.5067640124982635
15655123,Female,26,17000,0,-1.1132055228463764,-1.5487759483812642
15595917,Male,30,80000,0,-0.7311530053529826,0.3012100164103108
15668385,Male,39,42000,0,0.12846515900715358,-0.8146545337814328
15709476,Male,20,49000,0,-1.6862842990864673,-0.60910053769348
15711218,Male,35,88000,0,-0.25358735848624026,0.5361288690822568
15798659,Female,30,62000,0,-0.7311530053529826,-0.22735740210156777
15663939,Female,31,118000,1,-0.6356398759796341,1.4170745666020543
15694946,Male,24,55000,0,-1.3042317815930733,-0.4329113981895205
15631912,Female,28,85000,0,-0.9221792640996795,0.44803429933027705
15768816,Male,26,81000,0,-1.1132055228463764,0.33057487299430405
15682268,Male,35,50000,0,-0.25358735848624026,-0.5797356811094868
15684801,Male,22,81000,0,-1.4952580403397702,0.33057487299430405
15636428,Female,30,116000,0,-0.7311530053529826,1.3583448534340679
15809823,Male,26,15000,0,-1.1132055228463764,-1.6075056615492507
15699284,Female,29,28000,0,-0.826666134726331,-1.2257625259573384
15786993,Female,29,83000,0,-0.826666134726331,0.3893045861622905
15709441,Female,35,44000,0,-0.25358735848624026,-0.7559248206134463
15710257,Female,35,25000,0,-0.25358735848624026,-1.313857095709318
15582492,Male,28,123000,1,-0.9221792640996795,1.5638988495220207
15575694,Male,35,73000,0,-0.25358735848624026,0.09565602032235802
15756820,Female,28,37000,0,-0.9221792640996795,-0.961478816701399
15766289,Male,27,88000,0,-1.017692393473028,0.5361288690822568
15593014,Male,28,59000,0,-0.9221792640996795,-0.3154519718535475
15584545,Female,32,86000,0,-0.5401267466062857,0.4773991559142703
15675949,Female,33,149000,1,-0.4446136172329372,2.3273851207058454
15672091,Female,19,21000,0,-1.7817974284598157,-1.431316522045291
15801658,Male,21,72000,0,-1.5907711697131186,0.06629116373836477
15706185,Female,26,35000,0,-1.1132055228463764,-1.0202085298693855
15789863,Male,27,89000,0,-1.017692393473028,0.56549372566625
15720943,Male,26,86000,0,-1.1132055228463764,0.4773991559142703
15697997,Female,38,80000,0,0.03295202963380511,0.3012100164103108
15665416,Female,39,71000,0,0.12846515900715358,0.036926307154371514
15660200,Female,37,71000,0,-0.06256109973954335,0.036926307154371514
15619653,Male,38,61000,0,0.03295202963380511,-0.25672225868556103
15773447,Male,37,55000,0,-0.06256109973954335,-0.4329113981895205
15739160,Male,42,80000,0,0.415004547127199,0.3012100164103108
15689237,Male,40,57000,0,0.22397828838050202,-0.37418168502153404
15679297,Male,35,75000,0,-0.25358735848624026,0.1543857334903445
15591433,Male,36,52000,0,-0.15807422911289182,-0.5210059679415002
15642725,Male,40,59000,0,0.22397828838050202,-0.3154519718535475
15701962,Male,41,59000,0,0.3194914177538505,-0.3154519718535475
15811613,Female,36,75000,0,-0.15807422911289182,0.1543857334903445
15741049,Male,37,72000,0,-0.06256109973954335,0.06629116373836477
15724423,Female,40,75000,0,0.22397828838050202,0.1543857334903445
15574305,Male,35,53000,0,-0.25358735848624026,-0.49164111135750704
15678168,Female,41,51000,0,0.3194914177538505,-0.5503708245254936
15697020,Female,39,61000,0,0.12846515900715358,-0.25672225868556103
15610801,Male,42,65000,0,0.415004547127199,-0.139262832349588
15745232,Male,26,32000,0,-1.1132055228463764,-1.1083030996213654
15722758,Male,30,17000,0,-0.7311530053529826,-1.5487759483812642
15792102,Female,26,84000,0,-1.1132055228463764,0.4186694427462838
15675185,Male,31,58000,0,-0.6356398759796341,-0.34481682843754075
15801247,Male,33,31000,0,-0.4446136172329372,-1.1376679562053587
15725660,Male,30,87000,0,-0.7311530053529826,0.5067640124982635
15638963,Female,21,68000,0,-1.5907711697131186,-0.05116826259760824
15800061,Female,28,55000,0,-0.9221792640996795,-0.4329113981895205
15578006,Male,23,63000,0,-1.3997449109664217,-0.1979925455175745
15668504,Female,20,82000,0,-1.6862842990864673,0.3599397295782973
15687491,Male,30,107000,1,-0.7311530053529826,1.0940611441781285
15610403,Female,28,59000,0,-0.9221792640996795,-0.3154519718535475
15741094,Male,19,25000,0,-1.7817974284598157,-1.313857095709318
15807909,Male,19,85000,0,-1.7817974284598157,0.44803429933027705
15666141,Female,18,68000,0,-1.8773105578331641,-0.05116826259760824
15617134,Male,35,59000,0,-0.25358735848624026,-0.3154519718535475
15783029,Male,30,89000,0,-0.7311530053529826,0.56549372566625
15622833,Female,34,25000,0,-0.34910048785958875,-1.313857095709318
15746422,Female,24,89000,0,-1.3042317815930733,0.56549372566625
15750839,Female,27,96000,1,-1.017692393473028,0.7710477217542028
15749130,Female,41,30000,0,0.3194914177538505,-1.167032812789352
15779862,Male,29,61000,0,-0.826666134726331,-0.25672225868556103
15767871,Male,20,74000,0,-1.6862842990864673,0.12502087690635127
15679651,Female,26,15000,0,-1.1132055228463764,-1.6075056615492507
15576219,Male,41,45000,0,0.3194914177538505,-0.726559964029453
15699247,Male,31,76000,0,-0.6356398759796341,0.18375059007433778
15619087,Female,36,50000,0,-0.15807422911289182,-0.5797356811094868
15605327,Male,40,47000,0,0.22397828838050202,-0.6678302508614665
15610140,Female,31,15000,0,-0.6356398759796341,-1.6075056615492507
15791174,Male,46,59000,0,0.7970570646205928,-0.3154519718535475
15602373,Male,29,75000,0,-0.826666134726331,0.1543857334903445
15762605,Male,26,30000,0,-1.1132055228463764,-1.167032812789352
15598840,Female,32,135000,1,-0.5401267466062857,1.9162771285299396
15744279,Male,32,100000,1,-0.5401267466062857,0.8885071480901758
15670619,Male,25,90000,0,-1.2087186522197249,0.5948585822502434
15599533,Female,37,33000,0,-0.06256109973954335,-1.0789382430373722
