2,3,4,sum,Unnamed: 5,Unnamed: 5_label_encoded
10018,250,3046,13515,yes,0
10016,395,3044,13660,yes,0
10129,109,3251,13746,yes,0
10064,324,3137,13771,yes,0
10115,496,3094,13822,yes,0
10187,166,3068,13827,yes,0
10252,172,3062,13947,yes,0
10192,144,3469,13963,yes,0
10376,230,3223,13965,yes,0
10092,626,3083,13995,yes,0
10404,137,3029,13997,yes,0
10203,411,3257,14022,yes,0
10074,432,3246,14090,yes,0
10403,257,3073,14095,yes,0
10451,336,3238,14133,yes,0
10005,302,3516,14138,yes,0
10289,629,3040,14151,yes,0
10308,199,3426,14212,yes,0
10198,233,3665,14216,yes,0
10176,717,3079,14218,yes,0
10232,659,3105,14222,yes,0
10167,538,3426,14246,yes,0
10057,475,3253,14282,yes,0
10284,512,3044,14289,yes,0
10127,140,3742,14298,yes,0
10555,178,3272,14318,yes,0
10126,272,3518,14327,yes,0
10665,246,3195,14350,yes,0
10080,401,3642,14351,yes,0
10452,603,3024,14353,yes,0
10026,139,3827,14358,yes,0
10143,255,3746,14371,yes,0
10565,113,3497,14392,yes,0
10062,722,3288,14396,yes,0
10243,307,3706,14416,yes,0
10495,459,3273,14429,yes,0
10150,477,3397,14450,yes,0
10394,142,3732,14453,yes,0
10017,436,3761,14472,yes,0
10379,251,3607,14482,yes,0
10529,114,3700,14487,yes,0
10215,255,3761,14541,yes,0
10202,412,3803,14560,yes,0
10503,313,3476,14569,yes,0
10806,388,3224,14598,yes,0
10329,973,3078,14610,yes,0
10949,281,3120,14615,yes,0
10486,755,3242,14618,yes,0
10100,233,4123,14622,yes,0
10395,106,3986,14635,yes,0
10616,445,3257,14655,yes,0
10011,725,3496,14657,yes,0
10306,498,3776,14702,yes,0
10357,515,3649,14712,yes,0
10032,221,4299,14717,yes,0
10209,836,3503,14725,yes,0
11191,158,3206,14729,yes,0
10899,130,3374,14731,yes,0
10802,235,3410,14777,yes,0
10283,681,3658,14792,yes,0
10459,664,3384,14796,yes,0
10569,647,3168,14804,yes,0
10448,788,3243,14845,yes,0
10220,360,4115,14852,yes,0
10256,706,3713,14871,yes,0
10724,588,3109,14874,yes,0
10393,411,3691,14887,yes,0
